Abadejo
Cururo
Curutié
Cuscús
Cutia
Cutín
Cuón
Cálao
Cámbaro
Cárabo
Cínife
Cóndor
Cúa
Dafnia
Damalisco
Damisela
Damán
Danio
Danta
Degú
Delfín
Dentón
Desmán
Diablo
Diamante
Dibatag
Dic-dic
Dingiso
Dingo
Dinosaurio
Ditisco
Diuca
Diucón
Dodo
Dojo
Dole
Doncella
Dorada
Doradito
Dorado
Dormilona
Dorífora
Draco
Dragoncito
Dragón
Dril
Dromas
Dromedario
Drongo
Duela
Duende
Dugongo
Duiker
Dunnart
Díbler
Dólar
Dúcula
Efímera
Eglefino
Egotelo
Eider
Eland
Elanio
Elefante
Eláfodo
Eminia
Emperador
Emú
Eperlano
Eptianuro
Equidna
Eremomela
Erizo
Ermitaño
Escalar
Escamudo
Escarabajo
Escarcho
Escardinio
Escinco
Escolar
Escolopendra
Escorpión
Escribano
Escuerzo
Escupiña
Escórpora
Eslizón
Esmeralda
Esmerejón
Espadín
Espardeña
Esparrallón
Espetón
Espinacia
Espinoso
Espolonero
Esponja
Espátula
Estornino
Estrella
Estrilda
Esturión
Eufonia
Eurilaimo
Facóquero
Faetón
Faisancillo
Faisán
Falangero
Falanuc
Falaropo
Falconete
Falsa
Fanaloka
Faneca
Fara
Farolito
Farra
Fartet
Federal
Ferminia
Ferreret
Filaria
Filemón
Filentoma
Filepita
Filoxera
Fiofío
Flamenco
Fletán
Foca
Focha
Fodi
Fogonero
Follajero
Formicario
Fosa
Fragata
Frailecillo
Franciscana
Francolín
Fredi
Frigánea
Frutero
Fulmar
Fulveta
Fumarel
Fusta
Futarra
Fénec
Gacela
Gadela
Gadimorena
Galeopiteco
Galera
Gallano
Gallerbo
Galleta
Gallina
Gallineta
Gallipato
Gallito
Gallo
Galludito
Galludo
Galupe
Galán
Galápago
Galúa
Gamba
Gambusia
Gamo
Gamuza
Ganga
Ganso
Garapello
Garapito
Garceta
Garcilla
Garcita
Garduña
Gardí
Garibaldi
Garrapata
Garrapatero
Garza
Gato
Gaucho
Gaur
Gavesia
Gavial
Gavilán
Gaviota
Gavión
Gayal
Gecko
Geco
Gelada
Geoduck
Gerbillo
Gerenuc
Gerifalte
Gerigón
Gibón
Gigantopithecus
Gimnocéfalo
Gimnuro
Gineta
Gladiador
Glotón
Gobernador
Gobio
Golondrina
Goniatites
Goral
Gorgojo
Gorgoncéfalo
Gorgonia
Gorila
Gorrión
Graja
Grajilla
Grallina
Gran
Granadero
Grillo
Grisón
Grulla
Grévol
Guabina
Guacamayo
Guacharaca
Guajolote
Guama
Guamara
Guanaco
Guaqueque
Guardabarrancos
Guardabosques
Guará
Guatín
Guepardo
Guereza
Guirre
Guión
Gundi
Guppy
Gura
Gurami
Gusano
Guya
Guácharo
Gálago
Gárrulo
Habia
Halconcito
Halcón
Hamadríade
Harpía
Hemispingo
Hemión
Herrera
Herrerillo
Hicotea
Hidra
Hiena
Hihi
Hilóquero
Hipocampo
Hipocolio
Hipopótamo
Hipótrago
Hirola
Hoacín
Hocicudo
Hocó
Holoturia
Hombre
Hormiga
Hormiguero
Hornero
Hubara
Hued-hued
Huemul
Huia
Huizote
Huiña
Humano
Humuhumunukunukuāpuaʻa
Huro
Huroncito
Hurón
Hámster
Hāpuku
Ibis
Ifrita
Iguana
Impala
Inambú
Inca
Incaspiza
Indicador
Indri
Insecto
Inseparable
Iora
Irará
Irbis
Irena
Irukandji
Jabalí
Jabirú
Jacamará
Jacana
Jaguar
Jaguarundí
Jaiba
Jambato
Jaquetón
Jarabugo
Jejenero
Jerbillo
Jerbo
Jibia
Jiji
Jilguero
Jineta
Jirafa
Jochi
Jote
Julia
Junco
Junquero
Jurel
Jurela
Jutía
Kaguang
Kagú
Kaka
Kakapo
Kaluta
Kanchil
Kea
Keta
Kinkajú
Kioea
Kipunji
Kiula
Kiwi
Koala
Koel
Kokako
Kowari
Kri-kri
Krill
Kudú
Kulan
Kultarr
Lacha
Ladilla
Lagartija
Lagartina
Lagarto
Lagópodo
Lamprea
Lamprehuela
Lampuga
Langosta
Langostino
Langur
Laniotordo
Lanzón
Lapa
Laucha
Lavandera
Lavareto
Lechola
Lechuza
Lechwe
Lemming
Lengua
Lenguadillo
Lenguadina
Lenguado
Leopardo
Leucisco
León
Libélula
Licaón
Liebre
Ligre
Limaco
Limanda
Lince
Linsang
Linternilla
Lirio
Lirón
Lisa
Listado
Listoncillo
Llaca
Llama
Llampuga
Llanero
Llórón
Lobina
Lobo
Locha
Loco
Loica
Lombriz
Longueirón
Lorcha
Lori
Loris
Loro
Lorículo
Lota
Lubina
Lucio
Lucioperca
Luciérnaga
Lución
Lumpo
Luna
Luétiga
Lémur
Lúgano
Macaco
Macarela
Macaón
Macha
Machuelo
Macuquiño
Malacho
Malcarado
Malcoha
Maleo
Malimbo
Maluro
Malvasía
Mamangá
Mamba
Mamo
Mamut
Manatí
Mandril
Mangabey
Mango
Mangosta
Manjuarí
Mano
Manta
Mantis
Mantispa
Manul
Mapache
Mara
Marabunta
Marabú
Maragota
Marao
Marbella
Margarita
Margay
Marica
Mariposa
Mariquita
Marjor
Marlín
Marmosa
Marmota
Marrajo
Marsopa
Marta
Martineta
Martinete
Martín
Maruca
Mascarita
Mastodonte
Mataco
Matorralero
Mayate
Mayito
Mediopico
Medusa
Megacerops
Megalocero
Mejillón
Mejúa
Melampita
Meloncillo
Melva
Merlo
Merluza
Merlán
Mero
Mesito
Metalura
Mexclapique
Microloro
Mielero
Mielero-abejaruco
Mielga
Milano
Milpiés
Minero
Minivet
Minla
Miná
Mirlo
Mito
Mixino
Moa
Mocasín
Mochuelo
Mofeta
Mojarra
Mojo
Molva
Moma
Momoto
Mona
Monal
Monarca
Monito
Monja
Monjita
Monjon
Mono
Monstruo
Monterita
Mora
Morena
Morenocio
Morito
Morragute
Morsa
Mosca
Moscarda
Moscardón
Moscareta
Mosquerito
Mosquero
Mosqueta
Mosquitero
Mosquito
Muergo
Muflón
Mula
Mulato
Mulgara
Muntíaco
Murciélago
Murgaño
Musaraña
Musgaño
Musola
Mérgulo
Móloc
Múgil
Múrice
Nacra
Narval
Nautilo
Nauyaca
Navaja
Navajuela
Necturo
Negrita
Negrito
Negrón
Nerita
Newtonia
Nictibio
Nigua
Nilgó
Ningaui
Noriega
Novillo
Numbat
Nutria
Nyala
Násico
Nécora
Nínox
Nóctulo
Obispo
Oblada
Oca
Ocelote
Ocotero
Ofiura
Ojiblanco
Ojiverde
Ojodefuego
Okapi
Olayo
Olingo
Olivino
Onagro
Onza
Opa
Opilión
Orangutan
Orangután
Orca
Oreja
Orejerito
Orejero
Oreo
Oribí
Oricteropo
Ornitorrinco
Oropéndola
Ortega
Ortiga
Oruguero
Oso
Ostión
Ostra
Ostrero
Otario
Otoción
Ou
Oveja
Oxiuro
Pa'ua
Paca
Pacarana
Pacú
Pademelón
Pagaza
Paguala
Paiche
Pailona
Pajarito
Palila
Paloma
Palometa
Panaque
Panchax
Panda
Panga
Pangolín
Pantera
Papagayo
Papamoscas
Paparda
Papión
Paragüero
Pardalote
Pardela
Pardilla
Pardillo
Pargo
Parina
Pastinaca
Pato
Pato-petrel
Patí
Paujil
Pava
Pavo
Pavón
Paíño
Pecarí
Pececillo
Pechiazul
Pechito
Pecholuna
Pejelagarto
Pejepeine
Pejerrey
Pejesapo
Pejeverde
Pekán
Pelada
Peltopo
Peluda
Pelícano
Pepino
Pepitero
Perca
Percebe
Perdicilla
Perdigallo
Perdiz
Perezoso
Pergolero
Perico
Pericote
Peripato
Periquito
Perlero
Perlita
Perrito
Perro
Petauro
Petirrojo
Peto
Petrel
Petroica
Peuco
Peutrén
Pez
Piapiac
Piarda
Pibí
Pica
Picabayas
Picabuey
Picabueyes
Picaflores
Picamaderos
Picanzo
Picapinos
Picapuercos
Picatartes
Picatroncos
Piche
Pichiciego
Pico
Picoagudo
Picocerdas
Picogordo
Picogrueso
Picoguadaña
Picohoz
Picoibis
Picolezna
Picoplano
Picoroco
Picotenaza
Picovaina
Picozapato
Picudo
Picure
Pigargo
Pigarguillo
Piha
Pihuel
Pijuí
Pinchaflor
Pingüino
Pintada
Pintadilla
Pintarroja
Pinuca
Pinzón
Piojito
Piojo
Piopio
Piprites
Piquero
Piquituerto
Piracatinga
Piranga
Piraputanga
Pirarara
Pirarucú
Piraña
Pirincho
Pirosoma
Pirrulina
Piscardo
Pita
Pito
Pitohuí
Pitón
Piuquén
Piure
Planaria
Platanero
Platija
Platincho
Platy
Playero
Plañidera
Pluma
Plumero
Pluvial
Po'ouli
Podalirio
Podargo
Polilla
Polla
Pollo
Polluela
Ponchito
Poni
Porredana
Porrón
Portaespada
Pota
Potamoquero
Poto
Potoro
Potoyunco
Potón
Prinia
Procesionaria
Proteles
Proteo
Pseudoescorpión
Pucú
Pudú
Puercoespín
Pulga
Pulgón
Pulpo
Puma
Págalo
Pájaro
Pámpano
Pîngüino
Pósum
Quagga
Quebrantahuesos
Quelea
Quelvacho
Querequeté
Quetru
Quetzal
Quimera
Quinaquina
Quinde
Quirquincho
Quiscal
Quisquilla
Quitrique
Quitón
Quiula
Quokka
Quol
Rabicano
Rabihorcado
Rabijunco
Rabil
Rabilargo
Rabosa
Raficero
Rana
Ranisapo
Ranita
Rape
Rasbora
Rascacio
Rascador
Rascón
Rata
Ratel
Ratina
Ratona
Ratonero
Ratón
Raya
Rayador
Rebeco
Redunca
Reinamora
Reinita
Reloj
Remolinera
Renacuajo
Reno
Reyezuelo
Rezno
Riachuelero
Rinoceronte
Rivulín
Robín
Rocín
Rodaballo
Rohu
Romerillo
Ronco
Roquero
Rorcual
Rosada
Rosella
Rubio
Rubioca
Rufo
Ruiseñor
Ruivaco
Rutilo
Rémol
Rémora
Róbalo
Sabaleta
Sabalote
Sable
Saboga
Sahuí
Saiga
Saki
Salamandra
Salamanquesa
Salangana
Salano
Salema
Salinete
Salmon
Salmonete
Salmón
Salpa
Saltahojas
Saltamontes
Saltarrocas
Saltarín
Saltón
Salvariego
Salvelino
Sambar
Sanguijuela
Santiaguito
Saola
Sapata
Sapayoa
Sapillo
Sapo
Sarda
Sardina
Sargento
Sargo
Sarrio
Sasin
Sastrecillo
Sauro
Secretario
Sedosito
Semillero
Sepia
Serau
Serete
Seriema
Serpentina
Serpiente
Serrano
Serreta
Serval
Serín
Seudoescorpión
Shama
Siamang
Sibia
Sicista
Sierra
Sietecolores
Sifaca
Sigano
Silbador
Silfo
Siluro
Sinsonte
Sirena
Sisón
Sitatunga
Soco
Soldadito
Soldado
Solenodonte
Solitaria
Solitario
Solla
Somormujo
Sonso
Soterillo
Steenbok
Subepalo
Suela
Suimanga
Suirirí
Sula
Suni
Suricata
Surili
Surubí
Suño
Sábalo
Tabaquera
Tabernero
Tachurí
Taclobo
Tacuarita
Tahr
Taira
Takahe
Takín
Talapoin
Talégalo
Tamandúa
Tamarino
Tambor
Tamrilla
Tanuki
Tapaculo
Tapetí
Tapir
Tar
Tarabilla
Tararira
Tardígrado
Tarpán
Tarpón
Tarro
Tarsero
Taruca
Tarántula
Tasarte
Tecolote
Tejedor
Tejedorcito
Tejón
Tellina
Tembladera
Tenca
Tenia
Tenrec
Tepezcuintle
Tepozcalcarau
Termita
Terrera
Tesia
Testolín
Tetra
Teyú
Tiburón
Ticotico
Tieke
Tigana
Tigre
Tigrillo
Tigón
Tijeral
Tijereta
Tijerilla
Tilacino
Tilapia
Tilopo
Tiluchí
Timalí
Tinamú
Tintorera
Tinícalo
Tirahojas
Tirano
Tiranuelo
Tirica
Titi
Titira
Titirijí
Tití
Tiñosa
Tlaconete
Tlalcoyote
Toco
Tollo
Tomate
Tomeguín
Tonina
Tonino
Topi
Topillo
Topo
Toquí
Torcecuello
Tordina
Tordo
Torillo
Torito
Toro
Torogoz
Tororoí
Torrentero
Tortuga
Totoaba
Totovía
Totí
Tovacá
Tragopán
Trepador
Trepamusgos
Treparriscos
Trepatroncos
Triceratops
Triguero
Trile
Trips
Triquina
Tritón
Trogón
Trompetero
Trompudo
Trucha
Trucho-perca
Tsessebe
Tucutuco
Tucuxi
Tucán
Tunduco
Tunqui
Tupaya
Tuquito
Tur
Turaco
Turca
Turpial
Turón
Tuza
Tuátara
Tábano
Tángara
Tántalo
Tímalo
Típula
Tórtola
Tórtola-cuco
Uacarí
Ualabí
Ualarú
Uapití
Urial
Urina
Uro
Urogallo
Urraca
Ursón
Urta
Urubitinga
Urutaú
Uómbat
Vaca
Vampiro
Vanga
Vaquero
Vaquita
Varano
Varillero
Venadito
Venado
Vencejo
Verdecillo
Verdel
Verderón
Verdillo
Verdugo
Verdín
Verrugato
Vicuña
Vidriada
Vieira
Vieja
Vinago
Vinagrón
Vinchuca
Vireo
Vireón
Viringo
Viruela
Visón
Viuda
Viudita
Vizcacha
Vuelvepiedras
Víbora
Walabí
Walaró
Wallaby
Wapití
Weta
Wombat
Xarda
Xerus
Xifóforo
Xoloitzcuintle
Yaca
Yacaré
Yaco
Yacutinga
Yacutoro
Yaguar
Yaguarundí
Yaguasa
Yak
Yal
Yapok
Yarará
Yegua
Yerbera
Yetapá
Yigüirro
Yubarta
Yuhina
Zafiro
Zagloso
Zamburiña
Zampullín
Zamuro
Zanate
Zanclo
Zancudo
Zapatero
Zarapito
Zarcero
Zarigüeya
Zarzalero
Zerete
Zifio
Zigena
Zonuro
Zopilote
Zordala
Zorra
Zorrilla
Zorrillo
Zorro
Zorro-lobo
Zorzal
Zorzalito
Zubrón
Zunzuncito
Zunzún
solitario
tiranosaurio
Ácaro
Águila
Ánade
Ánsar
Áspid
Íbice
Ídolo
Ñacundá
Ñacurutú
Ñandú
Ñeque
Ñocla
Ñu
Órix
Óscar
